datetime,dia,mes,ano,hora,nivel_cm
2022-07-01 00:00:00,1,7,2022,0,648.0
2022-07-01 01:00:00,1,7,2022,1,648.0
2022-07-01 02:00:00,1,7,2022,2,647.0
2022-07-01 03:00:00,1,7,2022,3,647.0
2022-07-01 04:00:00,1,7,2022,4,647.0
2022-07-01 05:00:00,1,7,2022,5,647.0
2022-07-01 06:00:00,1,7,2022,6,647.0
2022-07-01 07:00:00,1,7,2022,7,647.0
2022-07-01 08:00:00,1,7,2022,8,646.0
2022-07-01 09:00:00,1,7,2022,9,646.0
2022-07-01 10:00:00,1,7,2022,10,647.0
2022-07-01 11:00:00,1,7,2022,11,646.0
2022-07-01 12:00:00,1,7,2022,12,646.0
2022-07-01 13:00:00,1,7,2022,13,646.0
2022-07-01 14:00:00,1,7,2022,14,646.0
2022-07-01 15:00:00,1,7,2022,15,646.0
2022-07-01 16:00:00,1,7,2022,16,646.0
2022-07-01 17:00:00,1,7,2022,17,646.0
2022-07-01 18:00:00,1,7,2022,18,646.0
2022-07-01 19:00:00,1,7,2022,19,645.0
2022-07-01 20:00:00,1,7,2022,20,645.0
2022-07-01 21:00:00,1,7,2022,21,645.0
2022-07-01 22:00:00,1,7,2022,22,645.0
2022-07-01 23:00:00,1,7,2022,23,645.0
2022-07-02 00:00:00,2,7,2022,0,644.0
2022-07-02 01:00:00,2,7,2022,1,644.0
2022-07-02 02:00:00,2,7,2022,2,644.0
2022-07-02 03:00:00,2,7,2022,3,644.0
2022-07-02 04:00:00,2,7,2022,4,643.0
2022-07-02 05:00:00,2,7,2022,5,643.0
2022-07-02 06:00:00,2,7,2022,6,643.0
2022-07-02 07:00:00,2,7,2022,7,643.0
2022-07-02 08:00:00,2,7,2022,8,642.0
2022-07-02 09:00:00,2,7,2022,9,642.0
2022-07-02 10:00:00,2,7,2022,10,641.0
2022-07-02 11:00:00,2,7,2022,11,642.0
2022-07-02 12:00:00,2,7,2022,12,641.0
2022-07-02 13:00:00,2,7,2022,13,641.0
2022-07-02 14:00:00,2,7,2022,14,641.0
