   Dia   Mês   Ano  Hora
    01    07  2022    00        0.000000
    01    07  2022    01        0.000000
    01    07  2022    02        0.000000
    01    07  2022    03        0.000000
    01    07  2022    04        0.000000
    01    07  2022    05        0.000000
    01    07  2022    06        0.000000
    01    07  2022    07        0.000000
    01    07  2022    08        0.000000
    01    07  2022    09        0.000000
    01    07  2022    10        0.000000
    01    07  2022    11        0.000000
    01    07  2022    12        0.000000
    01    07  2022    13        0.000000
    01    07  2022    14        0.000000
    01    07  2022    15        0.000000
    01    07  2022    16        0.000000
    01    07  2022    17        0.000000
    01    07  2022    18        0.000000
    01    07  2022    19        0.000000
    01    07  2022    20        0.000000
    01    07  2022    21        0.000000
    01    07  2022    22        0.000000
    01    07  2022    23        0.000000
    02    07  2022    00        0.000000
    02    07  2022    01        0.000000
    02    07  2022    02        0.000000
    02    07  2022    03        0.000000
    02    07  2022    04        0.000000
    02    07  2022    05        0.000000
    02    07  2022    06        0.000000
    02    07  2022    07        0.000000
    02    07  2022    08        0.000000
    02    07  2022    09        0.000000
    02    07  2022    10        0.000000
    02    07  2022    11        0.000000
    02    07  2022    12        0.000000
    02    07  2022    13        0.000000
    02    07  2022    14        0.000000
    02    07  2022    15        0.000000
    02    07  2022    16        0.000000
    02    07  2022    17        0.000000
    02    07  2022    18        0.000000
    02    07  2022    19        0.000000
    02    07  2022    20        0.000000
    02    07  2022    21        0.000000
    02    07  2022    22        0.000000
    02    07  2022    23        0.000000
    03    07  2022    00        0.000000
    03    07  2022    01        0.000000
    03    07  2022    02        0.000000
    03    07  2022    03        0.000000
    03    07  2022    04        0.000000
    03    07  2022    05        0.000000
    03    07  2022    06        0.000000
    03    07  2022    07        0.000000
    03    07  2022    08        0.000000
    03    07  2022    09        0.000000
    03    07  2022    10        0.000000
    03    07  2022    11        0.000000
    03    07  2022    12        0.000000
    03    07  2022    13        0.000000
    03    07  2022    14        0.000000
    03    07  2022    15        0.000000
    03    07  2022    16        0.000000
    03    07  2022    17        0.000000
    03    07  2022    18        0.000000
    03    07  2022    19        0.000000
    03    07  2022    20        0.000000
    03    07  2022    21        0.000000
    03    07  2022    22        0.000000
    03    07  2022    23        0.000000
    04    07  2022    00        0.000000
    04    07  2022    01        0.000000
    04    07  2022    02        0.000000
    04    07  2022    03        0.000000
    04    07  2022    04        0.000000
    04    07  2022    05        0.820000
    04    07  2022    06        1.440000
    04    07  2022    07        0.620000
    04    07  2022    08        0.000000
    04    07  2022    09        0.000000
    04    07  2022    10        0.000000
    04    07  2022    11        0.120000
    04    07  2022    12        0.000000
    04    07  2022    13        0.000000
    04    07  2022    14        0.000000
    04    07  2022    15        0.000000
    04    07  2022    16        0.000000
    04    07  2022    17        0.000000
    04    07  2022    18        0.000000
    04    07  2022    19        0.000000
    04    07  2022    20        0.000000
    04    07  2022    21        0.000000
    04    07  2022    22        0.000000
    04    07  2022    23        0.000000
    05    07  2022    00        0.000000
    05    07  2022    01        0.000000
    05    07  2022    02        0.000000
    05    07  2022    03        0.000000
    05    07  2022    04        0.000000
    05    07  2022    05        0.000000
    05    07  2022    06        0.000000
    05    07  2022    07        0.000000
